protocol,src_ip,dst_ip,src_port,dst_port,pkt_count,byte_count,duration_ms,avg_ipt_ms,min_ipt_ms,max_ipt_ms,kernel_label,label
1,127.0.0.1,127.0.0.1,0,53388,1,98,0.0,0.0,0.0,0.0,ICMP,ICMP
6,127.0.0.1,127.0.0.1,8080,40994,1,54,0.0,0.0,0.0,0.0,HTTP,HTTP
6,127.0.0.1,127.0.0.1,40960,8080,1,74,0.0,0.0,0.0,0.0,HTTP,HTTP
1,127.0.0.1,127.0.0.1,0,42561,1,98,0.0,0.0,0.0,0.0,ICMP,ICMP
6,127.0.0.1,127.0.0.1,8080,41014,1,54,0.0,0.0,0.0,0.0,HTTP,HTTP
1,127.0.0.1,127.0.0.1,0,1325,1,98,0.0,0.0,0.0,0.0,ICMP,ICMP
6,127.0.0.1,127.0.0.1,9999,48182,1,54,0.0,0.0,0.0,0.0,OTHER,TCP_OTHER
6,127.0.0.1,127.0.0.1,41114,8080,1,74,0.0,0.0,0.0,0.0,HTTP,HTTP
1,127.0.0.1,127.0.0.1,2048,54885,1,98,0.0,0.0,0.0,0.0,ICMP,ICMP
6,127.0.0.1,127.0.0.1,40944,8080,1,74,0.0,0.0,0.0,0.0,HTTP,HTTP
6,127.0.0.1,127.0.0.1,80,37548,1,54,0.0,0.0,0.0,0.0,HTTP,HTTP
1,127.0.0.1,127.0.0.1,0,5272,1,98,0.0,0.0,0.0,0.0,ICMP,ICMP
6,127.0.0.1,127.0.0.1,41064,8080,1,74,0.0,0.0,0.0,0.0,HTTP,HTTP
6,127.0.0.1,127.0.0.1,8080,40940,1,54,0.0,0.0,0.0,0.0,HTTP,HTTP
1,127.0.0.1,127.0.0.1,0,40656,1,98,0.0,0.0,0.0,0.0,ICMP,ICMP
6,127.0.0.1,127.0.0.1,41100,8080,1,74,0.0,0.0,0.0,0.0,HTTP,HTTP
1,127.0.0.1,127.0.0.1,0,35952,1,98,0.0,0.0,0.0,0.0,ICMP,ICMP
6,127.0.0.1,127.0.0.1,8080,41038,1,54,0.0,0.0,0.0,0.0,HTTP,HTTP
1,127.0.0.1,127.0.0.1,2048,16061,1,98,0.0,0.0,0.0,0.0,ICMP,ICMP
1,127.0.0.1,127.0.0.1,2048,20971,1,98,0.0,0.0,0.0,0.0,ICMP,ICMP
